Time of Receipt (s),Time of Transmission (s),Time of Data (s),Day of Year,Year,Packet Type,Number of Data Elements,Packet Source,Unique ID Number,Message Type,Version,NAVSSI Status,INS Status,GPS 1 Status,GPS 2 Status,North RMS Error (ft),East RMS Error (ft),Vertical Position RMS Error (ft),Radial Error Estimate (ft),North Velocity RMS Error (ft/s),East Velocity RMS Error (ft/s), Down Velocity RMS Error (ft/s),Roll RMS Error (degrees),Pitch RMS Error (degrees),Heading RMS Error (degrees),Time of Gyro Reset (s),Latitude (degrees),Longitude (degrees),Vertical Position (ft),Velocity North (kn),Velocity East (kn),Velocity Down (kn),Acceleration North (ft/s^2),Acceleration East (ft/s^2),Acceleration Down (ft/s^2),Integral of Velocity North (ft),Integral of Velocity East (ft),Course (degrees),Speed Through The Water (kn),Calibration for Speed Log (kn),Depth Below Keel (ft),Ocean Current North (kn), Ocean Current East(kn),Roll (degrees),Pitch (degrees),Heading (degrees),Roll Rate (degrees/s),Pitch Rate (degrees/s),Heading Rate (degrees/s),Roll Acceleration (degrees/s^2),Pitch Acceleration (degrees/s^2),Heading Acceleration (degrees/s^2),OSD_Status,Own Ship Distance (NM),Athwartships Speed (kn),Vertical Speed (kn),True Wind Status,True Wind Speed (kn),True Wind Direction (degrees),True Wind Sensor,Apparent Wind Status,Apparent Wind Speed (kn),Apparent Wind Direction (degrees),Apparent Wind Sensor,MV Status,Magnetic Variation (radians),Checksum
1537212161.6937,69761.7085537,69761.7085537,260,2018,2,55,1,24,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,0.00006,0,6.6199998856,0.7699999809,0,0,0,0,0,0,6.6700000763,6.6700000763,0,0,0,0,0,0,6.6700000763,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.6700000763,0,0,0,0,1400730489
1537212161.6938,69761.7085537,69761.7085537,260,2018,2,55,1,24,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,0.00006,0,6.6199998856,0.7699999809,0,0,0,0,0,0,6.6700000763,6.6700000763,0,0,0,0,0,0,6.6700000763,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.6700000763,0,0,0,0,1400730489
1537212162.6921,69762.7069555,69762.7069555,260,2018,2,55,1,25,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,0.00006,0,6.7100000381,0.8100000024,0,0,0,0,0,0,6.8499999046,6.7600002289,0,0,0,0,0,0,6.8499999046,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.7600002289,0,0,0,0,2277179697
1537212162.6921,69762.7069555,69762.7069555,260,2018,2,55,1,25,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,0.00006,0,6.7100000381,0.8100000024,0,0,0,0,0,0,6.8499999046,6.7600002289,0,0,0,0,0,0,6.8499999046,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.7600002289,0,0,0,0,2277179697
1537212163.6905,69763.7053572,69763.7053572,260,2018,2,55,1,26,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0.00006,0,6.8000001907,0.8399999738,0,0,0,0,0,0,7.0300002098,6.8499999046,0,0,0,0,0,0,7.0300002098,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,6.8499999046,0,0,0,0,3154118479
1537212163.6905,69763.7053572,69763.7053572,260,2018,2,55,1,26,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0.00006,0,6.8000001907,0.8399999738,0,0,0,0,0,0,7.0300002098,6.8499999046,0,0,0,0,0,0,7.0300002098,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,6.8499999046,0,0,0,0,3154118479
1537212164.689,69764.703759,69764.703759,260,2018,2,55,1,27,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0.00007,0,6.8899998665,0.8700000048,0,0,0,0,0,0,7.2100000381,6.9400000572,0,0,0,0,0,0,7.2100000381,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,6.9400000572,0,0,0,0,2058340513
1537212164.689,69764.703759,69764.703759,260,2018,2,55,1,27,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0.00007,0,6.8899998665,0.8700000048,0,0,0,0,0,0,7.2100000381,6.9400000572,0,0,0,0,0,0,7.2100000381,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,6.9400000572,0,0,0,0,2058340513
1537212165.6873,69765.7021607,69765.7021607,260,2018,2,55,1,28,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,0.00007,0,6.9800000191,0.9100000262,0,0,0,0,0,0,7.4099998474,7.0399999619,0,0,0,0,0,0,7.4099998474,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,7.0399999619,0,0,0,0,2934901807
1537212165.6873,69765.7021607,69765.7021607,260,2018,2,55,1,28,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,0.00007,0,6.9800000191,0.9100000262,0,0,0,0,0,0,7.4099998474,7.0399999619,0,0,0,0,0,0,7.4099998474,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,7.0399999619,0,0,0,0,2934901807
1537212166.6857,69766.7005625,69766.7005625,260,2018,2,55,1,29,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0.00008,0,7.0700001717,0.9399999976,0,0,0,0,0,0,7.5900001526,7.1300001144,0,0,0,0,0,0,7.5900001526,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,7.1300001144,0,0,0,0,2487817925
1537212166.6857,69766.7005625,69766.7005625,260,2018,2,55,1,29,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0.00008,0,7.0700001717,0.9399999976,0,0,0,0,0,0,7.5900001526,7.1300001144,0,0,0,0,0,0,7.5900001526,0,0,0.2099999934,0,0,0,0,0,0,0,0,0,0,0,0,7.1300001144,0,0,0,0,2487817925
1537212167.6997,69767.7145643,69767.7145643,260,2018,2,55,1,30,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0.00008,0,7.1500000954,0.9800000191,0,0,0,0,0,0,7.7699999809,7.2199997902,0,0,0,0,0,0,7.7699999809,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.2199997902,0,0,0,0,1213997626
1537212167.6997,69767.7145643,69767.7145643,260,2018,2,55,1,30,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0.00008,0,7.1500000954,0.9800000191,0,0,0,0,0,0,7.7699999809,7.2199997902,0,0,0,0,0,0,7.7699999809,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.2199997902,0,0,0,0,1213997626
1537212168.6981,69768.712966,69768.712966,260,2018,2,55,1,31,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0.00008,0,7.2399997711,1.0099999905,0,0,0,0,0,0,7.9499998093,7.3099999428,0,0,0,0,0,0,7.9499998093,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.3099999428,0,0,0,0,2090181431
1537212168.6981,69768.712966,69768.712966,260,2018,2,55,1,31,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0.00008,0,7.2399997711,1.0099999905,0,0,0,0,0,0,7.9499998093,7.3099999428,0,0,0,0,0,0,7.9499998093,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.3099999428,0,0,0,0,2090181431
1537212169.6965,69769.7113678,69769.7113678,260,2018,2,55,1,32,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0.00009,0,7.3299999237,1.0499999523,0,0,0,0,0,0,8.1300001144,7.4000000954,0,0,0,0,0,0,8.1300001144,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.4000000954,0,0,0,0,1642657147
1537212169.6965,69769.7113678,69769.7113678,260,2018,2,55,1,32,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0.00009,0,7.3299999237,1.0499999523,0,0,0,0,0,0,8.1300001144,7.4000000954,0,0,0,0,0,0,8.1300001144,0,0,0.2199999988,0,0,0,0,0,0,0,0,0,0,0,0,7.4000000954,0,0,0,0,1642657147
